,precision,recall,f1-score,support
BARBUNYA,0.9501915708812261,0.915129151291513,0.9323308270676691,271.0
BOMBAY,1.0,0.972972972972973,0.9863013698630136,111.0
CALI,0.9159159159159159,0.9384615384615385,0.9270516717325228,325.0
DERMASON,0.9060693641618497,0.9073806078147613,0.9067245119305857,691.0
HOROZ,0.969309462915601,0.9427860696517413,0.9558638083228247,402.0
SEKER,0.9467312348668281,0.9354066985645934,0.941034897713598,418.0
SIRA,0.8552875695732839,0.8882466281310212,0.8714555765595463,519.0
accuracy,0.9203507489952503,0.9203507489952503,0.9203507489952503,0.9203507489952503
macro avg,0.9347864454735293,0.9286262381268774,0.9315375233128228,2737.0
weighted avg,0.9212856514038227,0.9203507489952503,0.9206703762044945,2737.0
