,precision,recall,f1-score,support
BARBUNYA,0.927007299270073,0.9372693726937269,0.9321100917431193,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.9380804953560371,0.9323076923076923,0.9351851851851852,325.0
DERMASON,0.9234167893961709,0.9073806078147613,0.9153284671532846,691.0
HOROZ,0.9670050761421319,0.9477611940298507,0.957286432160804,402.0
SEKER,0.9566265060240964,0.9497607655502392,0.9531812725090036,418.0
SIRA,0.8558225508317929,0.8921001926782274,0.8735849056603774,519.0
accuracy,0.9265619291194739,0.9265619291194739,0.9265619291194739,0.9265619291194739
macro avg,0.938279816717186,0.9380828321534996,0.9380966220588248,2737.0
weighted avg,0.9272758365270609,0.9265619291194739,0.9268098189717329,2737.0
