,precision,recall,f1-score,support
BARBUNYA,0.9285714285714286,0.9114391143911439,0.9199255121042831,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.934375,0.92,0.9271317829457364,325.0
DERMASON,0.9017094017094017,0.9160636758321273,0.908829863603733,691.0
HOROZ,0.9619289340101523,0.9427860696517413,0.9522613065326633,402.0
SEKER,0.9358669833729216,0.9425837320574163,0.9392133492252682,418.0
SIRA,0.8623326959847036,0.8689788053949904,0.8656429942418427,519.0
accuracy,0.9185239313116551,0.9185239313116551,0.9185239313116551,0.9185239313116551
macro avg,0.9321120633783726,0.9288359139039171,0.9304292583790751,2737.0
weighted avg,0.9188288010456988,0.9185239313116551,0.9186291626604361,2737.0
