,precision,recall,f1-score,support
BARBUNYA,0.9333333333333333,0.9298892988929889,0.9316081330868762,271.0
BOMBAY,1.0,0.972972972972973,0.9863013698630136,111.0
CALI,0.9418960244648318,0.9476923076923077,0.9447852760736196,325.0
DERMASON,0.9172610556348074,0.9305354558610709,0.9238505747126436,691.0
HOROZ,0.9720101781170484,0.9502487562189055,0.9610062893081761,402.0
SEKER,0.9547619047619048,0.9593301435406698,0.9570405727923628,418.0
SIRA,0.8938223938223938,0.8921001926782274,0.892960462873674,519.0
accuracy,0.9342345633905736,0.9342345633905736,0.9342345633905736,0.9342345633905736
macro avg,0.9447264128763314,0.9403955896938775,0.9425075255300523,2737.0
weighted avg,0.9344571870352238,0.9342345633905736,0.9343058772130919,2737.0
