,precision,recall,f1-score,support
BARBUNYA,0.947565543071161,0.933579335793358,0.9405204460966543,271.0
BOMBAY,1.0,1.0,1.0,111.0
CALI,0.9357798165137615,0.9415384615384615,0.9386503067484663,325.0
DERMASON,0.9010043041606887,0.9088277858176556,0.9048991354466859,691.0
HOROZ,0.9670050761421319,0.9477611940298507,0.957286432160804,402.0
SEKER,0.9518072289156626,0.9449760765550239,0.9483793517406963,418.0
SIRA,0.8726235741444867,0.884393063583815,0.8784688995215311,519.0
accuracy,0.9254658385093167,0.9254658385093167,0.9254658385093167,0.9254658385093167
macro avg,0.9393979347068419,0.9372965596168807,0.9383149388164054,2737.0
weighted avg,0.9258296580165017,0.9254658385093167,0.9256137255341738,2737.0
